,Data_Completeness_Score_Name,People_Positive_New_Cases_Count,People_Positive_Cases_Count,People_Negative_New_Count,People_Negative_Cases_Count,People_Test_Results_New_Count,People_Pending_Cases_Count,Total_Tested_Positive_per_100k,New_Cases_per_100k_Prevalence,People_Positive_Negative_Test_Results_Count,People_Hospitalized_New_Count,People_Hospitalized_Currently_Count,People_Hospitalized_Cumulative_Count,Hospitalizations_per_100k_Incidence,People_In_Intensive_Care_Currently_Count,People_In_Intensive_Care_Cumulative_Count,People_Intubated_Currently_Count,People_Intubated_Cumulative_Count,People_Death_New_Count,People_Death_Count,Deaths_per_100k,Death_Rate_Prevalence,Death_Rate_Incidence,People_Recovered_Count,Recovery_Rate,Report_Date,Reported_Date_Time,Day,Month,Province_State_Code,Pop
6050,A,22,426.0,89,3027.0,111,,14.0177690029615,0.723922342875946,3453,0,43.0,,1.4149391247120764,,,16.0,,1,6.0,0.19743336623889438,4.545454545454546,1.4084507042253522,28.0,6.572769953051644,3/29/2020,2020-03-29 11:10:00,89.0,3.0,AR,3039000.0
6051,,0,,0,,0,,,0.0,0,0,,,,,,,,0,0.0,,0.0,,,,3/29/2020,2020-03-27 00:00:00,87.0,3.0,AS,55183.0
6052,B,46,919.0,5498,12953.0,5544,,12.455122931656748,0.6234337920089341,13872,41,,427.0,,,,,,2,17.0,0.23039944487286695,4.3478260869565215,1.8498367791077257,,,3/29/2020,2020-03-29 00:00:00,89.0,3.0,AZ,7378490.0
6053,B,1065,5708.0,0,20549.0,1065,64400.0,14.292331768388106,2.6666666666666665,26257,0,1034.0,,2.5890453834115807,410.0,,,,22,123.0,0.30798122065727696,2.0657276995305165,2.1548703573931327,,,3/29/2020,2020-03-29 14:18:00,89.0,3.0,CA,39937500.0
6054,A,327,2061.0,1273,11215.0,1600,,35.2577097371838,5.594017993235857,13276,35,332.0,274.0,5.679553436557507,,,,,13,44.0,0.7527119012305129,3.9755351681957185,2.134885977680738,,,3/29/2020,2020-03-28 18:00:00,88.0,3.0,CO,5845530.0
6055,A,702,1993.0,2798,9907.0,3500,,55.934753078796994,19.702055524995227,11900,0,404.0,,11.338504889028593,,,,,7,34.0,0.9542306094727033,0.9971509971509971,1.7059708981435024,,,3/29/2020,2020-03-29 12:30:00,89.0,3.0,CT,3563080.0
6056,A,38,342.0,258,2469.0,296,1.0,47.454720287725465,5.272746698636163,2811,0,,,,,,,,1,5.0,0.6937824603468635,2.631578947368421,1.461988304093567,66.0,19.298245614035086,3/29/2020,2020-03-28 19:45:00,88.0,3.0,DC,720687.0
6057,C,18,232.0,0,36.0,18,,23.603742007030252,1.8313248108902782,268,0,33.0,,3.3574288199655102,,,,,1,10.0,1.0174026727168213,5.555555555555555,4.310344827586207,9.0,3.8793103448275863,3/29/2020,2020-03-29 00:00:00,89.0,3.0,DE,982895.0
6058,A,483,4246.0,3704,39070.0,4187,,19.306142863638428,2.19615332151139,43316,68,,594.0,,,,,,2,56.0,0.25462647205929156,0.4140786749482402,1.31888836552049,,,3/29/2020,2020-03-29 11:30:00,89.0,3.0,FL,21993000.0
6059,A,285,2651.0,1228,9913.0,1513,,24.69239295461108,2.6545952440830467,12564,49,,666.0,,,,,,11,80.0,0.74514954219875,3.8596491228070176,3.017729158807997,,,3/29/2020,2020-03-28 18:27:00,88.0,3.0,GA,10736100.0
6060,,1,56.0,35,334.0,36,,,0.5925048141016145,390,0,15.0,,,,,,,0,1.0,,0.0,1.7857142857142856,7.0,12.5,3/29/2020,2020-03-29 04:00:00,89.0,3.0,GU,168775.0
6061,A,31,151.0,2492,6849.0,2523,,10.688827697513256,2.194395090217953,7000,4,,12.0,,,,,,0,,,0.0,,,,3/29/2020,2020-03-28 18:00:00,88.0,3.0,HI,1412690.0
6062,C,38,336.0,638,5013.0,676,,10.566536157365913,1.1950249225592402,5349,7,51.0,68.0,1.603849238171612,,,,,1,4.0,0.12579209711149897,2.631578947368421,1.1904761904761905,17.0,5.059523809523809,3/29/2020,2020-03-29 00:00:00,89.0,3.0,IA,3179850.0
6063,A,31,261.0,679,4021.0,710,,14.292285451439087,1.6975511455732248,4282,11,35.0,36.0,1.9165900030665441,,,,,1,5.0,0.2737985718666492,3.225806451612903,1.9157088122605364,,,3/29/2020,2020-03-28 18:55:00,88.0,3.0,ID,1826160.0
6064,A,1105,4596.0,1166,23166.0,2271,,36.30417782411905,8.72848487720878,27762,0,,,,,,,,18,65.0,0.5134402868946342,1.6289592760180998,1.4142732811140122,,,3/29/2020,2020-03-29 00:00:00,89.0,3.0,IL,12659700.0
6065,B,282,1514.0,1141,8316.0,1423,,22.445091803983487,4.180657786475128,9830,0,,,,,,,,1,32.0,0.47440088357164567,0.3546099290780142,2.1136063408190227,,,3/29/2020,2020-03-29 11:00:00,89.0,3.0,IN,6745350.0
6066,B,58,319.0,523,4194.0,581,,10.960843332096372,1.992880605835704,4513,28,,55.0,,,,,,1,6.0,0.20616006267265907,1.7241379310344827,1.8808777429467085,,,3/29/2020,2020-03-29 11:00:00,89.0,3.0,KS,2910360.0
6067,A,92,394.0,326,5147.0,418,,8.756158757603302,2.044585293653563,5541,0,,,,,,,,1,9.0,0.20001377872697898,1.0869565217391304,2.284263959390863,,,3/29/2020,2020-03-28 17:00:00,88.0,3.0,KY,4499690.0
6068,A,225,3540.0,2485,24331.0,2710,,76.20802638433818,4.8437304905299685,27871,0,1127.0,,24.261707834787888,,,380.0,,14,151.0,3.250681351422334,6.222222222222222,4.265536723163842,,,3/29/2020,2020-03-29 13:00:00,89.0,3.0,LA,4645180.0
6069,B,698,4856.0,3319,34234.0,4017,,69.60410515150647,10.004873434050971,39090,49,,399.0,,,,,,27,99.0,1.4190293266060832,3.8681948424068766,2.0387149917627676,,,3/29/2020,2020-03-28 12:30:00,88.0,3.0,MA,6976600.0
6070,D,247,1239.0,838,12354.0,1085,,20.367837557043096,4.060416365286234,13593,51,,277.0,,,,,,7,24.0,0.394534383671537,2.834008097165992,1.937046004842615,,,3/29/2020,2020-03-29 10:00:00,89.0,3.0,MD,6083120.0
6071,A,42,253.0,0,3394.0,42,,18.799366914600345,3.12084351941982,3647,0,,,,,,,,2,3.0,0.22291739424427287,4.761904761904762,1.185770750988142,41.0,16.205533596837945,3/29/2020,2020-03-29 14:20:00,89.0,3.0,ME,1345790.0
6072,B,919,15784.0,1515,17417.0,2434,,157.13290194126432,9.148830263812842,33201,0,,,,,,,,68,351.0,3.4942757590841214,7.399347116430903,2.2237709072478458,,,3/29/2020,2020-03-28 14:00:00,88.0,3.0,MI,10045000.0
6073,A,38,725.0,1171,18566.0,1209,,12.717803345922498,0.666588313303524,19291,18,39.0,75.0,0.6841301110220378,,17.0,,,4,9.0,0.15787617946662408,10.526315789473683,1.2413793103448276,243.0,33.51724137931035,3/29/2020,2020-03-29 00:00:00,89.0,3.0,MN,5700670.0
6074,C,0,838.0,1465,11547.0,1465,,13.583454768554464,0.0,12385,0,,,,,,,,0,10.0,0.16209373232165233,0.0,1.1933174224343674,,,3/29/2020,2020-03-28 15:00:00,88.0,3.0,MO,6169270.0
6075,,0,2.0,0,,0,,,0.0,2,0,,,,,,,,0,,,0.0,,,,3/29/2020,2020-03-29 01:30:00,89.0,3.0,MP,57580.0
6076,B,95,758.0,0,2560.0,95,,25.357446324508405,3.1780440644172807,3318,16,,235.0,,,,,,1,14.0,0.46834333580886245,1.0526315789473684,1.8469656992084433,,,3/29/2020,2020-03-28 19:00:00,88.0,3.0,MS,2989260.0
6077,A,25,154.0,887,4143.0,912,,14.170562037616401,2.3004159151974677,4297,1,,8.0,,,,,,0,1.0,0.0920166366078987,0.0,0.6493506493506493,,,3/29/2020,2020-03-29 10:00:00,89.0,3.0,MT,1086760.0
6078,A,105,1040.0,1313,17905.0,1418,,9.800318510351586,0.989455234218189,18945,0,91.0,,0.8575278696557638,,,,,0,4.0,0.03769353273212149,0.0,0.38461538461538464,,,3/29/2020,2020-03-29 10:35:00,89.0,3.0,NC,10611900.0
6079,B,15,98.0,546,3355.0,561,,12.865569242362382,1.969219781994242,3453,1,,17.0,,,,,,0,1.0,0.13128131879961613,0.0,1.0204081632653061,18.0,18.367346938775512,3/29/2020,2020-03-29 12:00:00,89.0,3.0,ND,761723.0
6080,A,12,108.0,64,1968.0,76,4.0,5.531171737761002,0.6145746375290002,2076,0,,,,,,,,0,2.0,0.10242910625483338,0.0,1.8518518518518516,,,3/29/2020,2020-03-28 20:05:00,88.0,3.0,NE,1952570.0
6081,B,27,214.0,868,4524.0,895,285.0,15.60619872379216,1.9690063810391978,4738,3,,33.0,,,,,,0,2.0,0.14585232452142205,0.0,0.9345794392523363,,,3/29/2020,2020-03-28 09:00:00,88.0,3.0,NH,1371250.0
6082,A,2262,13386.0,2830,22216.0,5092,,149.7890130105846,25.311724744504886,35602,0,2000.0,,22.37995114456665,,,,,21,161.0,1.8015860671376154,0.9283819628647214,1.202749140893471,,,3/29/2020,2020-03-29 13:30:00,89.0,3.0,NJ,8936570.0
