PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,PEOPLE_POSITIVE_CASES_COUNT,DATA_COMPLETENESS_SCORE_NAME,REPORT_DATE,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PEOPLE_NEGATIVE_CASES_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
129408,CA,329162,B,7/13/2020,2021,,,7/13/2020 12:00:00 AM,5544365,COVID Tracking Project Historical,23,,137766,,5215203,06,0,,,7895,8358,7040
6940,CO,36913,A,7/13/2020,,,4780,7/12/2020 1:59:00 AM,399365,COVID Tracking Project Historical,0,,7262,,362452,08,10,5895,,324,322,1586
30886,CT,47510,B,7/13/2020,,,8351,7/12/2020 8:30:00 PM,589318,COVID Tracking Project Historical,23,,31109,,541808,09,0,10552,,74,223,4371
3278,DC,10906,A+,7/13/2020,25,,1756,7/12/2020 12:00:00 AM,130220,COVID Tracking Project Historical,0,,3337,,119314,11,0,,16,93,59,568
1879,DE,12879,A+,7/13/2020,12,,7139,7/12/2020 6:00:00 PM,139363,COVID Tracking Project Historical,0,,1954,,126484,10,0,,,49,75,517
52943,FL,282435,A,7/13/2020,,1995,,7/12/2020 11:59:00 PM,2639574,COVID Tracking Project Historical,35,,65567,,2357139,12,227,18817,,8051,12624,4381
20908,GA,120569,A,7/13/2020,,,,7/13/2020 2:50:00 PM,1107967,COVID Tracking Project Historical,25,,24551,2643,987398,13,217,13476,,2600,3643,3026
363,GU,312,B,7/13/2020,,,202,7/12/2020 9:45:00 PM,17342,COVID Tracking Project Historical,0,,363,,17030,66,0,,,3,0,5
1230,HI,1220,D,7/13/2020,,,890,7/12/2020 12:00:00 AM,95170,COVID Tracking Project Historical,0,,1250,,93950,15,0,125,,,20,19
1845,IA,35529,A+,7/13/2020,67,,26664,7/13/2020 12:00:00 AM,376716,COVID Tracking Project Historical,4,,2303,,341187,19,0,,32,186,458,754
